td_sku_nbr,td_chain_nbr,td_last_update_dt
-2,7,9/10/2015
600001682,7,9/10/2015
600073666,7,11/3/2015
600073667,7,11/3/2015
600073668,7,11/3/2015
600073669,7,11/3/2015
210035630,7,11/3/2015
600014566,7,11/16/2015
600003824,7,1/19/2016
600003820,7,1/19/2016
600003812,7,1/19/2016
600003792,7,1/19/2016
600003816,7,1/19/2016
600003852,7,1/19/2016
600025924,7,10/29/2016
600026136,7,10/29/2016
210075357,7,10/29/2016
600001680,7,10/29/2016
600001681,7,10/29/2016
600026135,7,10/29/2016
210075358,7,10/29/2016
210075360,7,10/29/2016
210075359,7,10/29/2016
210075361,7,10/29/2016
210075362,7,10/29/2016
600001679,7,10/29/2016
600192809,7,10/31/2016
210075350,7,11/26/2016
210075345,7,11/26/2016
210075352,7,11/26/2016
210075347,7,11/26/2016
210075355,7,11/26/2016
210075354,7,11/26/2016
210075351,7,11/26/2016
210075348,7,11/26/2016
210075346,7,11/26/2016
210075349,7,11/26/2016
210075356,7,11/26/2016
210075353,7,11/26/2016
600200798,7,11/28/2016
600200800,7,11/28/2016
600121201,7,11/29/2016
600215531,7,12/29/2016
201444848,7,12/31/2016
600034742,7,12/31/2016
600034743,7,12/31/2016
600034744,7,12/31/2016
600034745,7,12/31/2016
201444843,7,12/31/2016
600226386,7,1/31/2017
600226387,7,1/31/2017
600228612,7,2/16/2017
600232256,7,2/21/2017
600232259,7,2/21/2017
600232262,7,2/21/2017
600232264,7,2/21/2017
600232263,7,2/21/2017
600232850,7,2/24/2017
600014606,7,2/27/2017
600014578,7,2/27/2017
600014577,7,2/27/2017
600014570,7,2/27/2017
600014573,7,2/27/2017
600107931,7,2/27/2017
600025098,7,2/27/2017
600014546,7,2/27/2017
600070510,7,2/27/2017
210043664,7,2/27/2017
210043665,7,2/27/2017
210035691,7,2/27/2017
210043662,7,2/27/2017
600014549,7,2/27/2017
600014610,7,2/27/2017
600014603,7,2/27/2017
600014552,7,2/27/2017
201444852,7,2/27/2017
600107985,7,2/27/2017
600208010,7,2/27/2017
210043663,7,2/27/2017
210043666,7,2/27/2017
600237864,7,3/24/2017
600237865,7,3/24/2017
600237861,7,3/24/2017
600237863,7,3/24/2017
600237866,7,3/24/2017
600237854,7,3/24/2017
600237857,7,3/24/2017
600237860,7,3/24/2017
600237858,7,3/24/2017
600237862,7,3/24/2017
600240816,7,3/24/2017
600237859,7,3/24/2017
600237856,7,3/24/2017
600239027,7,3/27/2017
600238531,7,3/27/2017
600238389,7,3/27/2017
600238521,7,3/27/2017
600238586,7,3/27/2017
600238508,7,3/27/2017
600238550,7,3/27/2017
600238402,7,3/27/2017
600238442,7,3/27/2017
600238451,7,3/27/2017
600238539,7,3/27/2017
600238386,7,3/27/2017
600238399,7,3/27/2017
600238392,7,3/27/2017
600238375,7,3/27/2017
600238370,7,3/27/2017
600238582,7,3/27/2017
600238391,7,3/27/2017
600238519,7,3/27/2017
600238527,7,3/27/2017
600241552,7,3/27/2017
600239032,7,3/27/2017
600239029,7,3/27/2017
600239016,7,3/27/2017
600238369,7,3/27/2017
600238454,7,3/27/2017
600238429,7,3/27/2017
600238445,7,3/27/2017
600238362,7,3/27/2017
600238460,7,3/27/2017
600238395,7,3/27/2017
600238410,7,3/27/2017
600238432,7,3/27/2017
600238443,7,3/27/2017
600238437,7,3/27/2017
600238501,7,3/27/2017
600238356,7,3/27/2017
600238614,7,3/27/2017
600238448,7,3/27/2017
600238520,7,3/27/2017
600238405,7,3/27/2017
600242651,7,3/28/2017
600242604,7,3/28/2017
600240277,7,3/28/2017
600240270,7,3/28/2017
600240276,7,3/28/2017
600240259,7,3/28/2017
600240305,7,3/28/2017
600240251,7,3/28/2017
600240278,7,3/28/2017
600240262,7,3/28/2017
600242649,7,3/28/2017
600240291,7,3/28/2017
600240264,7,3/28/2017
600240253,7,3/28/2017
600240312,7,3/28/2017
600242690,7,3/29/2017
600242454,7,3/30/2017
600242452,7,3/30/2017
600242450,7,3/30/2017
600242451,7,3/30/2017
600242453,7,3/30/2017
600242449,7,3/30/2017
600242961,7,3/31/2017
600082269,7,4/1/2017
600082272,7,4/1/2017
600082271,7,4/1/2017
201444853,7,4/1/2017
201444846,7,4/1/2017
600044872,7,4/1/2017
600082270,7,4/1/2017
210043661,7,4/1/2017
600241694,7,4/3/2017
600241701,7,4/3/2017
600241692,7,4/3/2017
600241706,7,4/3/2017
600241606,7,4/3/2017
600241695,7,4/3/2017
600241705,7,4/3/2017
600241687,7,4/3/2017
600241700,7,4/3/2017
600241688,7,4/3/2017
600241707,7,4/3/2017
600241618,7,4/3/2017
600025078,7,4/4/2017
600025088,7,4/4/2017
600025093,7,4/4/2017
201444844,7,4/4/2017
201444854,7,4/4/2017
600248523,7,4/10/2017
600248570,7,4/10/2017
600248608,7,4/10/2017
600242601,7,4/11/2017
600247524,7,4/11/2017
600242767,7,4/12/2017
600242731,7,4/12/2017
600254784,7,4/19/2017
600254785,7,4/19/2017
600256860,7,4/25/2017
600256855,7,4/25/2017
600256699,7,4/25/2017
600257374,7,4/28/2017
600044863,7,4/29/2017
600030798,7,5/2/2017
600030792,7,5/2/2017
600030796,7,5/2/2017
600030795,7,5/2/2017
600030799,7,5/2/2017
600030797,7,5/2/2017
600265324,7,5/19/2017
600075503,7,5/27/2017
600044859,7,5/27/2017
201439182,7,5/27/2017
201439186,7,5/27/2017
600025079,7,5/27/2017
600266675,7,5/30/2017
600266668,7,5/30/2017
600266674,7,5/30/2017
600266678,7,5/30/2017
600266670,7,5/30/2017
600266661,7,5/30/2017
600266679,7,5/30/2017
600266665,7,5/30/2017
600266660,7,5/30/2017
600266677,7,5/30/2017
600269989,7,6/12/2017
600269993,7,6/12/2017
600269990,7,6/12/2017
600269991,7,6/12/2017
600014579,7,6/15/2017
600014592,7,6/15/2017
600270106,7,6/16/2017
600270107,7,6/16/2017
600274228,7,6/16/2017
600270102,7,6/16/2017
201444849,7,6/20/2017
